Language,Metric,Real Mean,Real Std,Random Mean,Random Std,KS Stat,p-value,Significant
English,arity,0.944,1.288,0.944,0.946,0.1262,0.0,True
English,depth,5.52,3.007,7.089,3.749,0.1841,0.0,True
English,density,0.091,0.074,0.091,0.074,0.0,1.0,False
Hindi,arity,0.953,1.117,0.953,0.953,0.0471,0.0,True
Hindi,depth,7.305,2.83,8.272,3.169,0.1184,0.0,True
Hindi,density,0.058,0.029,0.058,0.029,0.0,1.0,False
German,arity,0.948,1.323,0.948,0.95,0.1401,0.0,True
German,depth,5.382,2.258,7.616,3.278,0.3203,0.0,True
German,density,0.068,0.04,0.068,0.04,0.0,1.0,False
Spanish,arity,0.963,1.214,0.963,0.963,0.0922,0.0,True
Spanish,depth,7.538,3.317,9.513,4.122,0.222,0.0,True
Spanish,density,0.051,0.036,0.051,0.036,0.0,1.0,False
Chinese,arity,0.959,1.277,0.959,0.962,0.1069,0.0,True
Chinese,depth,6.135,2.172,9.126,3.633,0.4061,0.0,True
Chinese,density,0.05,0.023,0.05,0.023,0.0,1.0,False
Arabic,arity,0.973,1.117,0.973,0.973,0.0239,0.0,True
Arabic,depth,9.981,4.669,11.349,5.926,0.1121,0.0,True
Arabic,density,0.051,0.059,0.051,0.059,0.0,1.0,False
Russian,arity,0.943,1.327,0.943,0.944,0.1406,0.0,True
Russian,depth,5.071,2.66,7.064,3.494,0.2472,0.0,True
Russian,density,0.086,0.064,0.086,0.064,0.0,1.0,False
Japanese,arity,0.958,1.076,0.958,0.959,0.0281,0.0,True
Japanese,depth,8.495,4.117,8.724,4.08,0.028,0.0081,True
Japanese,density,0.062,0.047,0.062,0.047,0.0,1.0,False
Turkish,arity,0.91,1.304,0.91,0.915,0.1543,0.0,True
Turkish,depth,3.514,1.964,5.072,2.732,0.242,0.0,True
Turkish,density,0.131,0.079,0.131,0.079,0.0,1.0,False
Basque,arity,0.926,1.271,0.926,0.927,0.1382,0.0,True
Basque,depth,4.212,1.709,6.049,2.571,0.3299,0.0,True
Basque,density,0.094,0.05,0.094,0.05,0.0,1.0,False
